Day,Susceptible,Infected,Recovered,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Reporting_Prob
87,703,72,9225,1,8,1,0.1292705098312484,1.0772542485937369,1,0.7215083798882681
88,702,63,9235,1,10,1,0.12623735072453282,1.0519779227044401,1,0.7229050279329609
89,702,60,9238,0,3,0,0.1231358538980296,1.0261321158169132,1,0.7243016759776536
90,702,56,9242,0,4,0,0.12,1.0,1,0.7256983240223464
91,702,49,9249,0,7,0,0.11686414610197038,0.9738678841830866,1,0.7270949720670391
92,702,45,9253,0,4,0,0.11376264927546725,0.9480220772955604,1,0.7284916201117319
93,702,43,9255,0,2,0,0.11072949016875158,0.9227457514062632,1,0.7298882681564246
94,702,40,9258,0,3,0,0.10779790070772599,0.89831583923105,1,0.7312849162011172
95,701,37,9262,1,4,1,0.10499999999999997,0.8749999999999998,1,0.73268156424581
96,701,34,9265,0,3,0,0.10236644243122582,0.8530536869268818,1,0.7340782122905027
97,700,34,9266,1,1,1,0.09992608180923429,0.8327173484102858,1,0.7354748603351955
98,700,31,9269,0,3,0,0.0977056552356782,0.8142137936306516,1,0.7368715083798882
99,700,30,9270,0,1,0,0.09572949016875158,0.7977457514062631,1,0.738268156424581
100,700,28,9272,0,2,0,0.09401923788646684,0.7834936490538903,1,0.7396648044692737
101,699,27,9274,1,2,1,0.23148409067680498,0.7716136355893499,0,0.7410614525139665
102,699,24,9277,0,3,0,0.22867076127786345,0.7622358709262116,0,0.7424581005586592
103,699,22,9279,0,2,0,0.2266389299449646,0.7554630998165487,0,0.743854748603352
104,699,20,9281,0,2,0,0.22541085784737946,0.7513695261579316,0,0.7452513966480447
105,698,16,9286,1,5,0,0.22499999999999998,0.75,0,0.7466480446927374
106,698,16,9286,0,0,0,0.22541085784737946,0.7513695261579316,0,0.7480446927374301
107,698,15,9287,0,1,0,0.22663892994496457,0.7554630998165486,0,0.7494413407821229
108,698,12,9290,0,3,0,0.22867076127786345,0.7622358709262116,0,0.7508379888268156
109,698,8,9294,0,4,0,0.23148409067680487,0.7716136355893496,0,0.7522346368715084
110,698,8,9294,0,0,0,0.2350480947161671,0.7834936490538904,0,0.7536312849162011
111,698,6,9296,0,2,0,0.23932372542187894,0.7977457514062631,0,0.7550279329608939
112,698,6,9296,0,0,0,0.24426413808919545,0.8142137936306515,0,0.7564245810055865
113,698,6,9296,0,0,0,0.24981520452308556,0.8327173484102852,0,0.7578212290502793
114,698,6,9296,0,0,0,0.2559161060780645,0.8530536869268817,0,0.759217877094972
115,698,6,9296,0,0,0,0.2625,0.875,0,0.7606145251396648
116,698,6,9296,0,0,0,0.26949475176931503,0.8983158392310501,0,0.7620111731843575
117,698,6,9296,0,0,0,0.2768237254218789,0.922745751406263,0,0.7634078212290503
118,698,6,9296,0,0,0,0.28440662318866805,0.9480220772955602,0,0.764804469273743
119,698,5,9297,0,1,0,0.2921603652549259,0.9738678841830863,0,0.7662011173184358
120,698,5,9297,0,0,0,0.2999999999999998,0.9999999999999994,0,0.7675977653631285
121,697,5,9298,1,1,1,0.30783963474507403,1.0261321158169134,0,0.7689944134078213
122,697,4,9299,0,1,0,0.3155933768113318,1.0519779227044395,0,0.770391061452514
123,697,3,9300,0,1,0,0.323176274578121,1.0772542485937366,0,0.7717877094972067
124,697,3,9300,0,0,0,0.3305052482306849,1.1016841607689496,0,0.7731843575418994
125,697,2,9301,0,1,0,0.3374999999999999,1.1249999999999998,0,0.7745810055865922
126,697,1,9302,0,1,0,0.34408389392193545,1.1469463130731181,0,0.7759776536312849
127,697,0,9303,0,1,0,0.35018479547691433,1.1672826515897146,0,0.7773743016759777
128,697,0,9303,0,0,0,0.3557358619108045,1.1857862063693483,0,0.7787709497206704
129,697,0,9303,0,0,0,0.36067627457812107,1.2022542485937369,0,0.7801675977653632
130,697,0,9303,0,0,0,0.3649519052838328,1.2165063509461094,0,0.7815642458100558
131,697,0,9303,0,0,0,0.36851590932319506,1.2283863644106503,0,0.7829608938547485
132,697,0,9303,0,0,0,0.3713292387221365,1.2377641290737884,0,0.7843575418994413
133,697,0,9303,0,0,0,0.37336107005503544,1.2445369001834514,0,0.785754189944134
134,697,0,9303,0,0,0,0.3745891421526205,1.2486304738420684,0,0.7871508379888268
135,697,0,9303,0,0,0,0.375,1.25,0,0.7885474860335195
136,697,0,9303,0,0,0,0.3745891421526205,1.2486304738420684,0,0.7899441340782123
137,697,0,9303,0,0,0,0.37336107005503544,1.2445369001834514,0,0.791340782122905
138,697,0,9303,0,0,0,0.3713292387221365,1.2377641290737884,0,0.7927374301675978
139,697,0,9303,0,0,0,0.36851590932319506,1.2283863644106503,0,0.7941340782122905
140,697,0,9303,0,0,0,0.3649519052838329,1.2165063509461098,0,0.7955307262569833
141,697,0,9303,0,0,0,0.36067627457812107,1.2022542485937369,0,0.7969273743016759
142,697,0,9303,0,0,0,0.35573586191080453,1.1857862063693485,0,0.7983240223463687
143,697,0,9303,0,0,0,0.3501847954769143,1.1672826515897143,0,0.7997206703910614
144,697,0,9303,0,0,0,0.3440838939219355,1.1469463130731183,0,0.8011173184357542
145,697,0,9303,0,0,0,0.33750000000000013,1.1250000000000004,0,0.8025139664804469
146,697,0,9303,0,0,0,0.33050524823068506,1.1016841607689503,0,0.8039106145251397
147,697,0,9303,0,0,0,0.3231762745781211,1.077254248593737,0,0.8053072625698324
148,697,0,9303,0,0,0,0.315593376811332,1.05197792270444,0,0.8067039106145251
149,697,0,9303,0,0,0,0.3078396347450741,1.0261321158169137,0,0.8081005586592178
150,697,0,9303,0,0,0,0.30000000000000004,1.0000000000000002,0,0.8094972067039106
151,697,0,9303,0,0,0,0.2921603652549261,0.9738678841830871,0,0.8108938547486033
152,697,0,9303,0,0,0,0.2844066231886681,0.9480220772955604,0,0.8122905027932961
153,697,0,9303,0,0,0,0.2768237254218789,0.9227457514062629,0,0.8136871508379888
154,697,0,9303,0,0,0,0.2694947517693151,0.8983158392310504,0,0.8150837988826816
155,697,0,9303,0,0,0,0.26250000000000007,0.8750000000000002,0,0.8164804469273743
156,697,0,9303,0,0,0,0.25591610607806453,0.8530536869268819,0,0.8178770949720671
157,697,0,9303,0,0,0,0.24981520452308562,0.8327173484102854,0,0.8192737430167598
158,697,0,9303,0,0,0,0.2442641380891954,0.8142137936306514,0,0.8206703910614526
159,697,0,9303,0,0,0,0.23932372542187885,0.7977457514062629,0,0.8220670391061452
160,697,0,9303,0,0,0,0.23504809471616717,0.7834936490538906,0,0.823463687150838
161,697,0,9303,0,0,0,0.23148409067680498,0.7716136355893499,0,0.8248603351955307
162,697,0,9303,0,0,0,0.22867076127786345,0.7622358709262116,0,0.8262569832402235
163,697,0,9303,0,0,0,0.22663892994496457,0.7554630998165486,0,0.8276536312849162
164,697,0,9303,0,0,0,0.22541085784737952,0.7513695261579317,0,0.829050279329609
165,697,0,9303,0,0,0,0.22499999999999998,0.75,0,0.8304469273743017
166,697,0,9303,0,0,0,0.22541085784737952,0.7513695261579317,0,0.8318435754189943
167,697,0,9303,0,0,0,0.2266389299449646,0.7554630998165487,0,0.8332402234636871
168,697,0,9303,0,0,0,0.22867076127786345,0.7622358709262116,0,0.8346368715083798
169,697,0,9303,0,0,0,0.2314840906768049,0.7716136355893497,0,0.8360335195530726
170,697,0,9303,0,0,0,0.2350480947161671,0.7834936490538904,0,0.8374301675977653
171,697,0,9303,0,0,0,0.23932372542187882,0.7977457514062628,0,0.8388268156424581
172,697,0,9303,0,0,0,0.24426413808919534,0.8142137936306512,0,0.8402234636871508
173,697,0,9303,0,0,0,0.24981520452308556,0.8327173484102852,0,0.8416201117318436
174,697,0,9303,0,0,0,0.2559161060780645,0.8530536869268815,0,0.8430167597765363
175,697,0,9303,0,0,0,0.26249999999999973,0.8749999999999992,0,0.8444134078212291
176,697,0,9303,0,0,0,0.26949475176931476,0.8983158392310493,0,0.8458100558659218
177,697,0,9303,0,0,0,0.276823725421879,0.9227457514062634,0,0.8472067039106145
178,697,0,9303,0,0,0,0.28440662318866816,0.9480220772955605,0,0.8486033519553072
179,697,0,9303,0,0,0,0.2921603652549259,0.9738678841830863,0,0.85
