Day,Susceptible,Infected,Recovered,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Season_Index,Intervention_Flag,Reporting_Prob
58,1016,963,8021,32,95,19,0.28440662318866805,0.9480220772955602,0,0.6810055865921787
59,996,898,8106,20,85,16,0.292160365254926,0.9738678841830867,0,0.6824022346368714
60,974,836,8190,22,84,13,0.2999999999999999,0.9999999999999997,0,0.6837988826815642
61,950,777,8273,24,83,15,0.307839634745074,1.0261321158169132,0,0.6851955307262569
62,925,721,8354,25,81,19,0.31559337681133187,1.0519779227044397,0,0.6865921787709497
63,907,671,8422,18,68,9,0.32317627457812104,1.0772542485937369,0,0.6879888268156424
64,890,636,8474,17,52,11,0.33050524823068494,1.1016841607689498,0,0.6893854748603352
65,867,589,8544,23,70,15,0.3374999999999999,1.1249999999999998,0,0.6907821229050279
66,853,547,8600,14,56,8,0.3440838939219355,1.1469463130731183,0,0.6921787709497207
67,838,508,8654,15,54,13,0.3501847954769143,1.1672826515897143,0,0.6935754189944134
68,823,467,8710,15,56,9,0.35573586191080453,1.1857862063693485,0,0.6949720670391061
69,806,447,8747,17,37,13,0.36067627457812107,1.2022542485937369,0,0.6963687150837988
70,801,411,8788,5,41,3,0.14598076211353314,1.2165063509461096,1,0.6977653631284916
71,797,363,8840,4,52,3,0.14740636372927804,1.2283863644106503,1,0.6991620111731843
72,793,333,8874,4,34,3,0.14853169548885461,1.2377641290737884,1,0.7005586592178771
73,792,305,8903,1,29,1,0.14934442802201417,1.2445369001834514,1,0.7019553072625698
74,784,290,8926,8,23,6,0.14983565686104822,1.2486304738420684,1,0.7033519553072626
75,781,261,8958,3,32,1,0.15000000000000002,1.25,1,0.7047486033519553
76,777,243,8980,4,22,2,0.14983565686104822,1.2486304738420684,1,0.706145251396648
77,775,229,8996,2,16,2,0.14934442802201417,1.2445369001834514,1,0.7075418994413407
78,775,208,9017,0,21,0,0.14853169548885461,1.2377641290737884,1,0.7089385474860335
79,773,194,9033,2,16,2,0.147406363729278,1.22838636441065,1,0.7103351955307262
80,769,178,9053,4,20,3,0.14598076211353317,1.2165063509461098,1,0.711731843575419
81,766,166,9068,3,15,2,0.14427050983124842,1.2022542485937369,1,0.7131284916201117
82,764,154,9082,2,14,1,0.14229434476432185,1.1857862063693487,1,0.7145251396648045
83,763,139,9098,1,16,1,0.14007391819076573,1.1672826515897143,1,0.7159217877094972
84,762,124,9114,1,16,1,0.1376335575687742,1.1469463130731183,1,0.71731843575419
85,762,117,9121,0,7,0,0.13499999999999998,1.125,1,0.7187150837988827
86,761,110,9129,1,8,0,0.13220209929227403,1.1016841607689503,1,0.7201117318435754
87,760,101,9139,1,10,1,0.1292705098312484,1.0772542485937369,1,0.7215083798882681
88,759,89,9152,1,13,1,0.12623735072453282,1.0519779227044401,1,0.7229050279329609
89,759,80,9161,0,9,0,0.1231358538980296,1.0261321158169132,1,0.7243016759776536
90,758,73,9169,1,8,1,0.12,1.0,1,0.7256983240223464
91,757,61,9182,1,13,1,0.11686414610197038,0.9738678841830866,1,0.7270949720670391
92,757,53,9190,0,8,0,0.11376264927546725,0.9480220772955604,1,0.7284916201117319
93,756,48,9196,1,6,1,0.11072949016875158,0.9227457514062632,1,0.7298882681564246
94,756,43,9201,0,5,0,0.10779790070772599,0.89831583923105,1,0.7312849162011172
95,755,41,9204,1,3,1,0.10499999999999997,0.8749999999999998,1,0.73268156424581
96,755,40,9205,0,1,0,0.10236644243122582,0.8530536869268818,1,0.7340782122905027
97,755,37,9208,0,3,0,0.09992608180923429,0.8327173484102858,1,0.7354748603351955
98,755,32,9213,0,5,0,0.0977056552356782,0.8142137936306516,1,0.7368715083798882
99,755,30,9215,0,2,0,0.09572949016875158,0.7977457514062631,1,0.738268156424581
100,754,27,9219,1,4,1,0.09401923788646684,0.7834936490538903,1,0.7396648044692737
101,753,27,9220,1,1,0,0.23148409067680498,0.7716136355893499,0,0.7410614525139665
102,751,27,9222,2,2,2,0.22867076127786345,0.7622358709262116,0,0.7424581005586592
103,750,28,9222,1,0,1,0.2266389299449646,0.7554630998165487,0,0.743854748603352
104,749,24,9227,1,5,0,0.22541085784737946,0.7513695261579316,0,0.7452513966480447
105,749,19,9232,0,5,0,0.22499999999999998,0.75,0,0.7466480446927374
106,749,18,9233,0,1,0,0.22541085784737946,0.7513695261579316,0,0.7480446927374301
107,749,17,9234,0,1,0,0.22663892994496457,0.7554630998165486,0,0.7494413407821229
108,749,14,9237,0,3,0,0.22867076127786345,0.7622358709262116,0,0.7508379888268156
109,748,12,9240,1,3,0,0.23148409067680487,0.7716136355893496,0,0.7522346368715084
110,748,12,9240,0,0,0,0.2350480947161671,0.7834936490538904,0,0.7536312849162011
111,748,12,9240,0,0,0,0.23932372542187894,0.7977457514062631,0,0.7550279329608939
112,748,11,9241,0,1,0,0.24426413808919545,0.8142137936306515,0,0.7564245810055865
113,747,11,9242,1,1,1,0.24981520452308556,0.8327173484102852,0,0.7578212290502793
114,747,9,9244,0,2,0,0.2559161060780645,0.8530536869268817,0,0.759217877094972
115,747,9,9244,0,0,0,0.2625,0.875,0,0.7606145251396648
116,746,9,9245,1,1,1,0.26949475176931503,0.8983158392310501,0,0.7620111731843575
117,745,10,9245,1,0,0,0.2768237254218789,0.922745751406263,0,0.7634078212290503
118,744,11,9245,1,0,1,0.28440662318866805,0.9480220772955602,0,0.764804469273743
119,744,11,9245,0,0,0,0.2921603652549259,0.9738678841830863,0,0.7662011173184358
120,744,9,9247,0,2,0,0.2999999999999998,0.9999999999999994,0,0.7675977653631285
121,744,9,9247,0,0,0,0.30783963474507403,1.0261321158169134,0,0.7689944134078213
122,744,9,9247,0,0,0,0.3155933768113318,1.0519779227044395,0,0.770391061452514
123,744,8,9248,0,1,0,0.323176274578121,1.0772542485937366,0,0.7717877094972067
124,744,8,9248,0,0,0,0.3305052482306849,1.1016841607689496,0,0.7731843575418994
125,744,8,9248,0,0,0,0.3374999999999999,1.1249999999999998,0,0.7745810055865922
126,743,8,9249,1,1,1,0.34408389392193545,1.1469463130731181,0,0.7759776536312849
127,743,8,9249,0,0,0,0.35018479547691433,1.1672826515897146,0,0.7773743016759777
128,743,8,9249,0,0,0,0.3557358619108045,1.1857862063693483,0,0.7787709497206704
129,743,6,9251,0,2,0,0.36067627457812107,1.2022542485937369,0,0.7801675977653632
130,743,6,9251,0,0,0,0.3649519052838328,1.2165063509461094,0,0.7815642458100558
131,743,6,9251,0,0,0,0.36851590932319506,1.2283863644106503,0,0.7829608938547485
132,743,6,9251,0,0,0,0.3713292387221365,1.2377641290737884,0,0.7843575418994413
133,743,6,9251,0,0,0,0.37336107005503544,1.2445369001834514,0,0.785754189944134
134,743,5,9252,0,1,0,0.3745891421526205,1.2486304738420684,0,0.7871508379888268
135,743,5,9252,0,0,0,0.375,1.25,0,0.7885474860335195
136,742,5,9253,1,1,1,0.3745891421526205,1.2486304738420684,0,0.7899441340782123
137,742,5,9253,0,0,0,0.37336107005503544,1.2445369001834514,0,0.791340782122905
138,742,5,9253,0,0,0,0.3713292387221365,1.2377641290737884,0,0.7927374301675978
139,742,5,9253,0,0,0,0.36851590932319506,1.2283863644106503,0,0.7941340782122905
140,742,5,9253,0,0,0,0.3649519052838329,1.2165063509461098,0,0.7955307262569833
141,742,4,9254,0,1,0,0.36067627457812107,1.2022542485937369,0,0.7969273743016759
142,742,4,9254,0,0,0,0.35573586191080453,1.1857862063693485,0,0.7983240223463687
143,742,4,9254,0,0,0,0.3501847954769143,1.1672826515897143,0,0.7997206703910614
144,741,5,9254,1,0,1,0.3440838939219355,1.1469463130731183,0,0.8011173184357542
145,741,4,9255,0,1,0,0.33750000000000013,1.1250000000000004,0,0.8025139664804469
146,741,4,9255,0,0,0,0.33050524823068506,1.1016841607689503,0,0.8039106145251397
147,741,4,9255,0,0,0,0.3231762745781211,1.077254248593737,0,0.8053072625698324
148,741,4,9255,0,0,0,0.315593376811332,1.05197792270444,0,0.8067039106145251
149,741,4,9255,0,0,0,0.3078396347450741,1.0261321158169137,0,0.8081005586592178
150,741,4,9255,0,0,0,0.30000000000000004,1.0000000000000002,0,0.8094972067039106
151,741,4,9255,0,0,0,0.2921603652549261,0.9738678841830871,0,0.8108938547486033
152,741,3,9256,0,1,0,0.2844066231886681,0.9480220772955604,0,0.8122905027932961
153,741,3,9256,0,0,0,0.2768237254218789,0.9227457514062629,0,0.8136871508379888
154,741,3,9256,0,0,0,0.2694947517693151,0.8983158392310504,0,0.8150837988826816
155,741,3,9256,0,0,0,0.26250000000000007,0.8750000000000002,0,0.8164804469273743
156,741,3,9256,0,0,0,0.25591610607806453,0.8530536869268819,0,0.8178770949720671
157,741,3,9256,0,0,0,0.24981520452308562,0.8327173484102854,0,0.8192737430167598
158,741,2,9257,0,1,0,0.2442641380891954,0.8142137936306514,0,0.8206703910614526
159,741,2,9257,0,0,0,0.23932372542187885,0.7977457514062629,0,0.8220670391061452
160,741,2,9257,0,0,0,0.23504809471616717,0.7834936490538906,0,0.823463687150838
161,741,2,9257,0,0,0,0.23148409067680498,0.7716136355893499,0,0.8248603351955307
162,741,2,9257,0,0,0,0.22867076127786345,0.7622358709262116,0,0.8262569832402235
163,741,2,9257,0,0,0,0.22663892994496457,0.7554630998165486,0,0.8276536312849162
164,741,2,9257,0,0,0,0.22541085784737952,0.7513695261579317,0,0.829050279329609
165,741,2,9257,0,0,0,0.22499999999999998,0.75,0,0.8304469273743017
166,741,1,9258,0,1,0,0.22541085784737952,0.7513695261579317,0,0.8318435754189943
167,741,1,9258,0,0,0,0.2266389299449646,0.7554630998165487,0,0.8332402234636871
168,741,1,9258,0,0,0,0.22867076127786345,0.7622358709262116,0,0.8346368715083798
169,741,1,9258,0,0,0,0.2314840906768049,0.7716136355893497,0,0.8360335195530726
170,741,1,9258,0,0,0,0.2350480947161671,0.7834936490538904,0,0.8374301675977653
171,741,1,9258,0,0,0,0.23932372542187882,0.7977457514062628,0,0.8388268156424581
172,741,1,9258,0,0,0,0.24426413808919534,0.8142137936306512,0,0.8402234636871508
173,741,1,9258,0,0,0,0.24981520452308556,0.8327173484102852,0,0.8416201117318436
174,741,1,9258,0,0,0,0.2559161060780645,0.8530536869268815,0,0.8430167597765363
175,741,1,9258,0,0,0,0.26249999999999973,0.8749999999999992,0,0.8444134078212291
176,741,1,9258,0,0,0,0.26949475176931476,0.8983158392310493,0,0.8458100558659218
177,741,1,9258,0,0,0,0.276823725421879,0.9227457514062634,0,0.8472067039106145
178,741,0,9259,0,1,0,0.28440662318866816,0.9480220772955605,0,0.8486033519553072
179,741,0,9259,0,0,0,0.2921603652549259,0.9738678841830863,0,0.85
