Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases,Beta_Effective,Seasonality
71,1251,191,13982,404660,81,108,1134,57,1.6537508561455228,1.28264912449115
72,1167,187,12919,405814,84,91,1154,48,1.6777558189910342,1.2760757850134883
73,1098,152,11997,406841,69,105,1027,58,1.6988216113411845,1.269036919307361
74,1044,130,11126,407789,54,77,948,45,1.7169781893740728,1.2615443964927078
75,989,119,10323,408658,55,66,869,36,1.732304566876144,1.2536108506579815
76,959,88,9620,409424,30,63,766,29,1.7449182860667711,1.2452496595562175
77,918,91,8918,410167,41,41,743,20,1.754964619933199,1.2364749220471143
78,875,93,8303,410824,43,42,657,20,1.7626060629114948,1.2273014343231665
79,835,80,7714,411469,40,56,645,31,1.7680124980532315,1.21774466495994
80,812,58,7154,412075,23,46,606,23,1.7713522884126867,1.2078207288325489
81,794,58,6581,412668,18,20,593,13,1.772784443461947,1.1975463599423364
82,766,52,6087,413196,28,34,528,21,1.7724519625130386,1.1869388831995589
83,747,45,5639,413671,19,27,475,17,1.7704764520408902,1.1760161852096687
84,727,47,5234,414097,20,21,426,7,1.7669541406756883,1.1647966841124517
85,712,40,4810,414546,15,25,449,11,1.7619534565904644,1.1532992985248773
86,699,31,4468,414912,13,24,366,10,1.7555143645519629,1.141543415640029
87,683,36,4130,415264,16,14,352,5,1.747649659243237,1.129548858535912
88,672,28,3848,415566,11,20,302,13,1.7383483544337295,1.1173358527492594
89,664,22,3559,415869,8,14,303,5,1.727581178351499,1.1049249921707
90,652,23,3302,416140,12,14,271,9,1.7153079826217346,1.092337204318803
91,646,19,3092,416361,6,11,221,5,1.7014866141056444,1.079593715051545
92,643,15,2884,416579,3,10,218,6,1.6860825272554572,1.0667160127747113
93,640,10,2660,416814,3,11,235,4,1.6690781887317845,1.053725812207585
94,635,12,2463,417017,5,6,203,4,1.6504812111902283,1.040645017767015
95,632,13,2275,417208,3,3,191,2,1.6303302013840832,1.027495686631616
96,623,20,2106,417382,9,5,174,3,1.6086975385258653,1.0142999915483764
97,617,12,1955,417549,6,16,167,10,1.5856886867543807,1.0010801834443863
98,614,9,1808,417703,3,7,154,1,1.5614381214822741,0.9878585539067456
99,610,9,1663,417855,4,7,152,3,1.536102417256006,0.9746573975939037
100,606,9,1560,417964,4,6,109,4,1.509851408489041,0.9614989746418195
101,600,11,1455,418073,6,4,109,3,1.4828585256300773,0.9484054731283403
102,600,9,1349,418184,0,5,111,3,1.4552914051058081,0.9353989716590809
103,595,11,1219,418318,5,4,134,1,1.4273036964398378,0.9225014021378986
104,590,14,1136,418406,5,5,88,3,1.3990287038070133,0.9097345127847446
105,587,12,1054,418496,3,8,90,6,1.3705751751035347,0.8971198314632441
106,587,7,1001,418557,0,8,61,7,1.3420252552840353,0.8846786293798456
107,585,6,918,418646,2,6,89,3,1.3134343967457889,0.872431885215761
108,585,6,839,418726,0,1,80,1,1.2848328863479619,0.8604002497521548
109,581,7,783,418787,4,5,61,2,1.2562286018874538,0.8486040110482626
110,577,8,731,418845,4,6,58,1,1.2276106311897088,0.8370630602311303
111,577,5,663,418917,0,4,72,3,1.1989534487223414,0.8257968579546734
112,575,6,609,418974,2,3,57,1,1.1702214226070036,0.8148244015846142
113,574,5,573,419015,1,5,41,4,1.141373498529611,0.8041641931646247
114,573,3,529,419064,1,5,49,4,1.112367962034248,0.7938342082176939
115,572,3,483,419113,1,3,49,2,1.0831672089750226,0.7838518654353317
116,571,5,454,419144,1,2,31,2,1.0537424529343538,0.774233997305714
117,570,6,419,419180,1,1,36,0,1.0240782703722013,0.7649968217302974
118,569,3,394,419210,1,5,30,1,0.9941768355866376,0.7561559146767732
119,568,2,364,419243,1,3,33,3,0.9640616386819897,0.7477261839144569
120,568,1,341,419267,0,1,24,1,0.9337804246746507,0.7397218438764204
121,567,1,321,419288,1,1,21,0,0.9034070570936493,0.732156391690741
122,567,2,305,419306,0,2,18,1,0.8730420116110728,0.7250425844212887
123,567,4,281,419330,0,0,24,0,0.8428112576718566,0.7183924175564336
124,567,2,254,419359,0,2,29,1,0.8128633944456184,0.7122171047819363
125,567,0,240,419375,0,2,16,2,0.7833650658653867,0.7065270590721373
126,567,1,225,419391,0,1,16,0,0.7544948689703755,0.7013318751313278
127,566,2,209,419407,1,0,16,0,0.7264361597184873,0.6966403132149066
128,566,1,197,419420,0,1,13,1,0.6993693148026842,0.6924602843576082
129,566,1,180,419439,0,2,19,1,0.6734640939802999,0.6887988370337084
130,566,0,168,419452,0,1,13,1,0.6488727446017251,0.6856621452717018
131,566,2,157,419463,0,0,11,0,0.6257243966359266,0.6830554982434938
132,565,3,146,419477,1,3,14,2,0.6041211302741546,0.6809832913456597
133,482,33,183,419495,0,55,18,30,0.5841358914790754,0.6794490187878119
134,482,15,196,419502,0,20,7,12,0.5658122216563003,0.6784552677005722
135,482,8,183,419522,0,7,20,4,0.5491655900131193,0.6780037137730839
136,482,4,176,419533,0,4,11,2,0.5341859939556785,0.6780951184274208
137,481,5,166,419546,1,3,13,1,0.5208414326073453,0.6787293275346578
138,481,3,156,419561,0,5,15,4,0.5090818566998326,0.6799052716747671
139,481,3,143,419576,0,2,15,2,0.49884324123932666,0.6816209679399017
140,398,45,178,419585,0,44,9,30,0.4900514981614192,0.6838735232780269
141,398,20,185,419603,0,25,18,16,0.48262602790309955,0.6866591393712612
142,398,10,184,419615,0,11,12,6,0.47648278811921824,0.6899731190406984
143,398,6,167,419639,0,7,24,5,0.4715368259537089,0.6938098741669143
144,398,5,159,419650,0,3,11,0,0.46770427309867363,0.6981629351128009
145,398,1,152,419663,0,6,13,4,0.46490383960907616,0.703024961632837
146,398,1,146,419671,0,2,8,1,0.4630578646672234,0.7083877552504031
147,315,38,182,419682,0,47,11,26,0.46209299297774703,0.7142422730822684
148,314,19,186,419699,1,21,17,15,0.4619405473234181,0.7205786430869365
149,314,10,182,419714,0,11,15,6,0.46253666391457715,0.7273861807111415
150,314,4,176,419726,0,6,12,1,0.46382224991508375,0.7346534069064212
151,314,3,163,419740,0,1,14,1,0.4657428137364504,0.7423680674853903
152,314,3,153,419753,0,3,13,1,0.4682482096164566,0.7505171537850727
153,314,3,147,419761,0,2,8,1,0.4712923294324481,0.759086924602449
154,231,52,171,419774,0,37,13,22,0.47483276708086714,0.768062929365234
155,231,31,174,419793,0,22,19,13,0.47883047426959097,0.7774300324988118
156,231,17,177,419805,0,15,12,9,0.4832494212397192,0.7871724389482366
157,231,8,176,419816,0,10,11,6,0.48805627168144256,0.7972737208122692
158,231,3,169,419830,0,7,14,7,0.49322007780683924,0.8077168450445367
159,231,0,156,419846,0,3,16,1,0.49871199904440117,0.8184842021750989
160,231,0,145,419859,0,2,13,0,0.5045050459804113,0.8295576360040006
161,148,46,170,419872,0,38,13,27,0.5105738498575355,0.8409184742167312
162,148,26,183,419882,0,23,10,10,0.5168944570352193,0.8525475598699706
163,148,15,178,419898,0,11,16,7,0.5234441472223659,0.8644252836945316
164,148,11,167,419915,0,6,17,3,0.5302012739311376,0.8765316171610211
165,148,7,163,419925,0,6,10,2,0.5371451254086411,0.8888461462524723
166,148,3,153,419939,0,4,14,2,0.5442558042316513,0.9013481058869974
167,148,1,149,419947,0,4,8,3,0.5515141237609323,0.9140164149324106
168,78,37,176,419957,0,37,10,24,0.5589015197180051,0.9268297117537868
169,78,18,188,419967,0,22,10,11,0.5663999752475423,0.9397663902340126
170,78,9,184,419982,0,11,15,7,0.5739919579480485,0.952804636206585
171,78,2,174,419999,0,7,17,5,0.58166036748138,0.9659224642392297
172,78,2,162,420012,0,1,13,0,0.5893884925007593,0.9790977547063198
173,78,2,150,420025,0,1,13,1,0.5971599757623204,0.9923082910875614
174,78,1,142,420036,0,3,11,2,0.6049587864039393,1.005531797430078
175,28,21,168,420043,0,33,7,20,0.6127691984852904,1.018745975910703
176,28,13,159,420061,0,9,18,2,0.6205757749840118,1.0319285444351547
177,28,6,156,420071,0,7,10,4,0.6283633565342194,1.0450572742106903
178,28,2,149,420082,0,4,11,1,0.636117054275689,1.0581100272288755
179,28,4,141,420091,0,1,9,0,0.6438222462552242,1.071064793595277
180,28,1,135,420101,0,4,10,1,0.6514645768866753,1.0838997286431247
181,28,0,131,420108,0,3,7,2,0.6590299590334866,1.096593189768359
182,0,13,130,420125,0,16,17,10,0.6665045783282206,1.1091237729239574
183,0,13,123,420135,0,3,10,1,0.6738748993879629,1.1214703487120041
184,0,9,120,420144,0,6,9,3,0.681127673623489,1.1336120980126292
185,0,2,120,420154,0,10,10,5,0.6882499483743006,1.1455285470897592
186,0,1,113,420163,0,2,9,1,0.6952290771315465,1.1571996021144644
187,0,1,108,420170,0,2,7,2,0.7020527306370999,1.1686055830477016
188,0,2,105,420175,0,2,5,1,0.708708908670047,1.1797272568253128
189,0,0,102,420180,0,2,5,1,0.7151859523519991,1.1905458697893208
190,0,1,95,420189,0,2,9,2,0.7214725568203635,1.2010431793108387
191,0,0,87,420200,0,3,11,2,0.7275577841342579,1.211201484551273
192,0,0,82,420205,0,0,5,0,0.733431076291497,1.2210036563099358
193,0,0,81,420208,0,2,3,1,0.7390822682472072,1.2304331659077568
194,0,0,76,420213,0,0,5,0,0.7445016008353494,1.239474113058374
195,0,0,75,420215,0,1,2,1,0.7496797335039926,1.2481112526796145
196,0,1,72,420218,0,0,3,0,0.7546077567836811,1.2563300206001478
197,0,2,71,420221,0,2,3,0,0.7592772044158654,1.2641165581179803
198,0,1,68,420225,0,1,4,1,0.763680065075193,1.271457735369355
199,0,2,63,420230,0,0,5,0,0.7678087936256509,1.278341173468677
200,0,0,58,420237,0,2,7,1,0.771656321856136,1.2847552653821128
201,0,0,56,420240,0,1,3,1,0.775216068646131,1.290689195499675
202,0,0,54,420244,0,2,4,1,0.7784819495168368,1.29613295787279
203,0,2,49,420250,0,1,6,0,0.781448385527388,1.3010773730865868
204,0,2,46,420255,0,2,5,1,0.784110311479758,1.3055141037384703
205,0,1,44,420259,0,2,4,1,0.7864631833996337,1.3094356684968673
206,0,1,43,420263,0,3,4,1,0.7885029852639779,1.3128354547164434
207,0,1,42,420265,0,1,2,1,0.7902262349492188,1.3157077295885196
208,0,1,43,420267,0,3,2,1,0.7916299893770457,1.3180476498078844
209,0,1,41,420270,0,1,3,1,0.7927118488376474,1.3198512697397022
210,0,1,39,420273,0,1,3,0,0.7934699604729695,1.3211155480727461
211,0,2,39,420274,0,1,1,0,0.7939030209051551,1.3218383529477367
212,0,0,40,420275,0,2,1,1,0.7940102779978194,1.322018465552139
213,0,2,40,420276,0,1,1,1,0.7937915317401972,1.321655582175356
214,0,2,38,420279,0,1,3,0,0.793247134246489,1.320750314720854
215,0,0,40,420281,0,4,2,1,0.7923779888649481,1.3193041896743545
216,0,1,39,420284,0,2,3,2,0.791185548393386,1.3173196455298337
217,0,0,38,420286,0,1,2,1,0.7896718123998464,1.3148000286776707
218,0,0,36,420288,0,0,2,0,0.7878393236491968,1.3117495877618754
219,0,1,34,420290,0,0,2,0,0.7856911636383446,1.3081734665159153
220,0,4,30,420294,0,0,4,0,0.7832309472446674,1.304077695089214
221,0,4,27,420298,0,1,4,1,0.7804628164940935,1.2994691798789586
222,0,4,28,420300,0,3,2,2,0.7773914334570544,1.2943556918843497
223,0,3,29,420301,0,2,1,1,0.7740219722822705,1.28874585360294
224,0,4,26,420305,0,1,4,0,0.7703601103800213,1.2826491244911495
225,0,3,30,420305,0,4,0,4,0.7664120187682036,1.2760757850134885
226,0,4,31,420306,0,2,1,0,0.7621843515960692,1.2690369193073612
227,0,4,27,420310,0,0,4,0,0.7576842348620892,1.2615443964927082
228,0,4,27,420311,0,1,1,0,0.7529192543438975,1.2536108506579817
229,0,5,25,420314,0,1,3,1,0.7478974427597195,1.2452496595562175
230,0,5,23,420316,0,0,2,0,0.7426272661821027,1.2364749220471143
231,0,6,24,420317,0,2,1,1,0.7371176097261257,1.2273014343231667
232,0,5,26,420319,0,4,2,2,0.7313777625355785,1.21774466495994
233,0,2,31,420319,0,5,0,2,0.725417402091859,1.2078207288325487
234,0,2,30,420322,0,2,3,0,0.7192465778715508,1.1975463599423364
235,0,1,28,420326,0,2,4,1,0.7128756943798004,1.1869388831995586
236,0,1,26,420328,0,0,2,0,0.7063154935877208,1.1760161852096687
237,0,0,27,420328,0,1,0,1,0.6995770368030962,1.164796684112452
238,0,1,27,420329,0,1,1,1,0.6926716860046694,1.1532992985248778
239,0,3,25,420332,0,1,3,1,0.6856110846712163,1.141543415640029
240,0,3,27,420332,0,2,0,0,0.6784071381375183,1.129548858535912
241,0,2,26,420334,0,1,2,1,0.6710719935101501,1.1173358527492594
