Day,Susceptible,Exposed,Infected,Recovered,New_Exposed,New_Infections,New_Recoveries,Reported_Cases
65,19310,7298,52488,144786,1948,2690,3972,505
66,17609,6584,50914,148775,1701,2415,3989,426
67,16076,5870,49320,152617,1533,2248,3842,399
68,14702,5272,47401,156510,1374,1974,3893,372
69,13464,4717,45580,160124,1238,1793,3614,341
70,12331,4262,43600,163692,1133,1588,3568,293
71,11357,3814,41683,167033,974,1424,3341,237
72,10494,3442,39773,170178,863,1235,3145,238
73,9772,2992,37945,173179,722,1173,3001,202
74,9158,2608,35975,176148,614,999,2969,173
75,8593,2339,34025,178933,565,835,2785,144
76,8091,2044,32195,181560,502,797,2627,164
77,7666,1784,30396,184046,425,687,2486,131
78,7312,1530,28653,186399,354,610,2353,110
79,6976,1382,26974,188563,336,485,2164,90
80,6684,1207,25396,190609,292,468,2046,86
81,6423,1059,23891,192525,261,411,1916,64
82,6191,940,22431,194336,232,351,1811,82
83,5890,941,20969,196100,301,302,1764,66
84,5554,948,19592,197806,336,329,1706,66
85,5296,893,18346,199366,258,314,1560,69
86,5049,862,17203,200788,247,279,1422,61
87,4819,797,16133,202155,230,297,1367,64
88,4637,698,15132,203437,182,281,1282,62
89,4489,595,14225,204597,148,253,1160,46
90,4368,521,13334,205683,121,195,1086,35
91,4252,467,12463,206724,116,170,1041,41
92,4136,414,11707,207651,116,171,927,33
93,4054,364,10908,208584,82,134,933,36
94,3988,301,10240,209383,66,131,799,38
95,3905,301,9508,210198,83,83,815,17
96,3839,255,8874,210945,66,113,747,20
97,3782,230,8284,211618,57,83,673,23
98,3736,193,7741,212246,46,85,628,12
99,3702,165,7244,212805,34,62,559,9
100,3657,161,6731,213368,45,50,563,7
101,3640,113,6292,213874,17,67,506,14
102,3605,113,5822,214381,35,37,507,7
103,3580,107,5382,214854,25,33,473,8
104,3551,106,4981,215285,29,30,431,7
105,3524,98,4646,215657,27,37,372,3
106,3495,96,4309,216027,29,33,370,8
107,3477,78,4022,216350,18,36,323,7
108,3454,75,3753,216645,23,26,295,9
109,3439,66,3475,216949,15,26,304,9
110,3427,55,3224,217224,12,24,275,5
111,3411,48,2997,217474,16,23,250,6
112,3395,43,2809,217685,16,23,211,4
113,3384,40,2614,217896,11,16,211,5
114,3375,40,2421,218098,9,9,202,1
115,3358,47,2229,218301,17,11,203,3
116,3341,54,2054,218488,17,12,187,2
117,3330,49,1914,218644,11,16,156,1
118,3321,46,1786,218786,9,14,142,3
119,3315,35,1655,218934,6,17,148,3
120,3307,30,1523,219080,8,14,146,3
121,3288,35,1426,219191,19,14,111,4
122,3275,43,1332,219291,13,6,100,2
123,3268,37,1252,219386,7,15,95,3
124,3260,28,1184,219471,8,17,85,4
125,3251,31,1099,219563,9,7,92,3
126,3238,33,1033,219641,13,12,78,3
127,3231,28,964,219724,7,14,83,3
128,3220,30,891,219807,11,10,83,1
129,3214,33,818,219885,6,5,78,1
130,3210,26,776,219939,4,12,54,4
131,3208,21,728,219996,2,9,57,2
132,3203,17,689,220045,5,10,49,4
133,3199,16,642,220099,4,7,54,1
134,3191,20,602,220143,8,4,44,1
135,3185,19,568,220185,6,8,42,1
136,3184,14,535,220225,1,7,40,2
137,3181,10,499,220269,3,8,44,2
138,3174,14,462,220309,7,3,40,1
139,3173,12,435,220339,1,3,30,2
140,3170,8,412,220371,3,9,32,1
141,3166,9,383,220403,4,3,32,0
142,3161,10,355,220435,5,4,32,0
143,3160,8,343,220452,1,5,17,1
144,3155,12,311,220487,5,3,35,1
145,3154,8,288,220517,1,7,30,2
146,3153,7,274,220533,1,2,16,1
147,3152,6,258,220553,1,4,20,0
148,3152,5,237,220575,0,1,22,0
149,3152,6,222,220591,0,1,16,0
150,3149,7,211,220604,3,2,13,0
151,3146,7,195,220623,3,3,19,1
152,3145,7,182,220639,1,3,16,0
153,3142,8,170,220654,3,3,15,0
154,3141,5,162,220666,1,4,12,0
155,3140,5,150,220681,1,3,15,1
156,3139,5,141,220693,1,3,12,0
157,3136,6,133,220703,3,2,10,0
158,3135,5,124,220714,1,2,11,1
159,3135,2,123,220719,0,4,5,0
160,3134,4,119,220723,1,0,4,0
161,3134,1,111,220734,0,3,11,1
162,3133,2,105,220741,1,1,7,0
163,3133,2,96,220750,0,0,9,0
164,3133,2,92,220755,0,1,5,0
165,3132,2,81,220767,1,1,12,0
166,3131,5,75,220773,1,0,6,0
167,3130,6,71,220778,1,1,5,0
168,3086,38,77,220786,0,14,8,5
169,3085,27,84,220792,1,13,6,3
170,3085,18,93,220794,0,11,2,1
171,3085,13,93,220801,0,7,7,0
172,3085,9,93,220807,0,6,6,1
173,3085,7,93,220811,0,4,4,1
174,3085,7,89,220816,0,1,5,1
175,3041,36,98,220823,0,16,7,3
176,3041,28,97,220832,0,8,9,2
177,3041,20,98,220840,0,9,8,0
178,3040,15,100,220844,1,6,4,2
179,3039,13,91,220857,1,4,13,2
180,3038,12,89,220863,1,4,6,1
181,3038,7,90,220867,0,5,4,2
182,2994,33,103,220873,0,19,6,1
183,2994,21,107,220881,0,12,8,4
184,2994,14,110,220886,0,8,5,3
185,2994,6,109,220895,0,8,9,4
186,2994,4,109,220898,0,3,3,2
187,2994,2,99,220910,0,2,12,0
188,2994,2,96,220914,0,1,4,1
189,2950,31,109,220918,0,17,4,5
190,2950,20,113,220927,0,13,9,3
191,2950,18,109,220935,0,4,8,0
192,2949,14,104,220946,1,6,11,1
193,2949,10,98,220958,0,6,12,1
194,2949,5,94,220968,0,6,10,0
195,2948,2,93,220974,1,5,6,1
196,2904,26,103,220984,0,20,10,7
197,2904,14,109,220990,0,12,6,4
198,2904,9,102,221002,0,5,12,1
199,2904,6,100,221009,0,5,7,1
200,2904,4,94,221018,0,3,9,0
201,2901,6,80,221033,3,1,15,0
202,2900,5,78,221038,1,3,5,1
203,2855,37,87,221043,1,14,5,1
204,2855,22,97,221050,0,17,7,2
205,2855,14,95,221060,0,8,10,1
206,2855,11,94,221066,0,5,6,0
207,2855,6,84,221081,0,5,15,1
208,2855,7,82,221084,0,1,3,1
209,2855,7,76,221092,0,2,8,0
210,2811,40,83,221096,0,11,4,3
211,2811,28,88,221105,0,14,9,4
212,2811,21,92,221109,0,8,4,2
213,2811,17,86,221120,0,5,11,2
214,2811,14,89,221122,0,5,2,2
215,2811,9,94,221124,0,7,2,2
216,2811,8,90,221129,0,1,5,0
217,2767,35,101,221137,0,19,8,4
218,2767,18,111,221144,0,17,7,4
219,2767,13,106,221155,0,6,11,2
220,2767,7,98,221169,0,6,14,1
221,2767,5,96,221175,0,4,6,0
222,2766,4,87,221186,1,2,11,0
223,2765,4,82,221192,1,1,6,0
224,2721,31,92,221199,0,17,7,3
225,2721,25,93,221206,0,8,7,1
226,2721,16,96,221214,0,11,8,2
227,2721,11,92,221225,0,7,11,1
228,2721,7,92,221229,0,4,4,1
229,2721,2,96,221230,0,5,1,1
230,2721,1,90,221238,0,2,8,0
231,2676,32,101,221243,1,16,5,1
232,2676,20,109,221247,0,12,4,3
233,2674,14,108,221257,2,9,10,0
234,2673,8,109,221263,1,7,6,2
235,2671,6,102,221274,2,4,11,1
236,2670,5,93,221285,1,2,11,0
237,2670,4,93,221288,0,3,3,0
238,2625,34,102,221294,1,15,6,1
239,2624,26,103,221303,1,10,9,1
240,2624,17,95,221320,0,9,17,1
241,2623,15,86,221332,1,3,12,1
242,2623,11,85,221339,0,6,7,2
243,2622,10,81,221345,1,2,6,1
244,2622,9,80,221349,0,3,4,2
245,2578,37,86,221359,0,16,10,4
246,2578,22,98,221364,0,17,5,5
247,2578,17,98,221371,0,7,7,2
248,2578,12,95,221379,0,5,8,3
249,2578,7,96,221383,0,5,4,1
250,2578,7,87,221394,0,2,11,0
251,2577,7,84,221398,1,1,4,1
252,2532,34,95,221407,1,20,9,5
253,2531,21,104,221413,1,15,6,4
254,2530,12,105,221423,1,11,10,4
255,2529,11,103,221429,1,4,6,1
256,2529,10,92,221442,0,2,13,0
257,2529,5,92,221447,0,5,5,3
258,2527,3,90,221453,2,4,6,0
259,2483,34,98,221460,0,15,7,4
260,2483,21,106,221466,0,14,6,6
261,2482,18,98,221478,1,4,12,1
262,2482,10,98,221486,0,8,8,4
263,2482,6,94,221496,0,6,10,1
264,2482,5,91,221501,0,2,5,2
265,2481,5,84,221510,1,2,9,1
266,2435,35,94,221517,2,17,7,3
267,2435,23,106,221519,0,14,2,4
268,2435,18,108,221522,0,5,3,1
269,2435,9,108,221531,0,9,9,1
270,2433,9,98,221545,2,4,14,1
271,2433,7,91,221556,0,4,11,2
272,2433,7,83,221565,0,1,9,0
273,2389,35,95,221571,0,18,6,8
274,2389,26,101,221576,0,11,5,5
275,2389,18,99,221587,0,9,11,1
276,2388,13,98,221595,1,7,8,1
277,2388,11,97,221600,0,4,5,0
278,2388,5,95,221608,0,6,8,1
279,2388,7,92,221611,0,0,3,0
280,2344,31,103,221620,0,20,9,2
281,2343,19,110,221627,1,14,7,3
282,2343,12,113,221632,0,8,5,5
283,2342,11,108,221640,1,3,8,2
284,2342,9,102,221649,0,3,9,1
285,2342,7,99,221655,0,3,6,0
286,2342,6,90,221666,0,2,11,0
287,2298,38,101,221669,0,14,3,4
288,2298,25,108,221677,0,15,8,8
289,2296,22,111,221680,2,6,3,2
290,2296,14,110,221691,0,10,11,0
291,2296,4,108,221705,0,12,14,4
292,2296,3,98,221716,0,1,11,0
293,2296,3,92,221722,0,0,6,0
294,2251,34,103,221725,1,14,3,2
295,2251,23,104,221736,0,12,11,4
296,2251,13,105,221745,0,10,9,1
297,2251,11,102,221752,0,4,7,3
298,2251,8,98,221760,0,4,8,0
299,2251,8,95,221765,0,2,5,0
300,2251,7,88,221774,0,2,9,0
301,2206,37,99,221780,1,17,6,4
302,2206,23,111,221783,0,15,3,2
303,2205,22,108,221790,1,4,7,1
304,2205,16,110,221795,0,7,5,1
305,2205,9,110,221803,0,8,8,1
306,2205,8,99,221817,0,3,14,0
307,2204,5,95,221827,1,6,10,0
308,2159,31,104,221837,1,19,10,3
309,2159,21,107,221844,0,10,7,3
310,2159,18,103,221851,0,3,7,2
311,2159,12,104,221858,0,8,7,2
